%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1461500,501629,1644544023646176815,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0392265990376,-0.0294199492782,9.81645679474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2934300,501630,1644544023648190975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0294199492782,-0.0784531980753,9.88510322571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4713000,501631,1644544023650203228,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0392265990376,-0.0784531980753,9.88510322571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7360500,501632,1644544023652217388,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0784531980753,-0.0392265990376,9.91452312469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9354200,501633,1644544023654231548,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0980664938688,-0.0392265990376,9.91452312469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10940600,501634,1644544023656243563,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0392265990376,-0.0392265990376,9.8949098587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13211800,501635,1644544023658257723,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0784531980753,-0.0686465501785,9.91452312469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14851000,501636,1644544023660269976,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0686465501785,-0.0294199492782,9.94394302368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16823400,501637,1644544023662284136,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0784531980753,-0.00980664975941,9.8949098587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18758500,501638,1644544023664296389,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0294199492782,-0.0294199492782,9.96355628967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
