%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,dt,ux,uz,sx,sz
500,769127,1.64454093642317E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343232750893,-9.67916297913,0.774725317955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594700,769128,1.64454093642518E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313812792301,-9.62032318115,0.735498726368,0,0,0,0,0,0,0,0,0,0.002014208,0.000632084236755,0.00148144741864,1.90972368951876E-06,4.47591486330677E-06
3751200,769129,1.64454093642719E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343232750893,-9.58109664917,0.764918684959,0,0,0,0,0,0,0,0,0,0.002013696,0.000691166417542,0.001540313696227,2.08769857550868E-06,4.65258529325689E-06
5688900,769130,1.64454093642921E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313812792301,-9.57129001617,0.725692093372,0,0,0,0,0,0,0,0,0,0.002016,0.000632646589279,0.001462995260238,1.91312328597914E-06,4.42409766695957E-06
7910000,769131,1.64454093643122E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343232750893,-9.61051654816,0.637432217598,0,0,0,0,0,0,0,0,0,0.002014208,0.000691342152711,0.001283921072144,2.08876034209063E-06,3.87912614232042E-06
9636800,769132,1.64454093643324E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.61051654816,0.686465501785,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001382508570251,2.32688416468812E-06,4.17645885011092E-06
11618400,769133,1.64454093643525E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421685934067,-9.53206348419,0.696272134781,0,0,0,0,0,0,0,0,0,0.002016,0.000850118843079,0.001403684623719,2.57075938147111E-06,4.24474230212473E-06
13889900,769134,1.64454093643727E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.58109664917,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013952,0.000809754993995,0.001461509042831,2.44621153449989E-06,4.41511358974054E-06
15944600,769135,1.64454093643928E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.71838951111,0.804145276546,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.001620951016326,2.45056671408969E-06,4.90113342817937E-06
17901300,769136,1.6445409364413E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421685934067,-9.70858287811,0.774725317955,0,0,0,0,0,0,0,0,0,0.002014208,0.000849363181885,0.001560457933228,2.56619117378801E-06,4.71463027915546E-06
