,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,delta_x,delta_z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,delta_angle,x,z
0,1644542237823688030,0.0294199492782,-9.62032318115,0.294199496508,acc,0.0,0.0,,,,,0,0
1,1644542237825701714,0.0686465501785,-9.66935634613,0.294199496508,acc,2.783564924784993e-07,-1.1929563790746171e-06,,,,,0.0,0.0
2,1644542237826943636,,,,gyr,0.0,0.0,0.0,0.0,-0.00174532923847,,0.0,0.0
3,1644542237827717543,0.0392265990376,-9.62032318115,0.264779537916,acc,1.5939989600349333e-07,-1.0759492753171828e-06,,,,,0.0,0.0
4,1644542237829731226,0.0294199492782,-9.67916297913,0.274586200714,acc,1.1929551791166445e-07,-1.1134248640545938e-06,,,,,1.5939989600349333e-07,-1.0759492753171828e-06
5,1644542237831763029,0.0294199492782,-9.62032318115,0.313812792301,acc,1.2145212394347757e-07,-1.2954893220645862e-06,,,,,2.7869541391515775e-07,-2.1893741393717764e-06
6,1644542237831954718,,,,gyr,1.2146345427280783e-07,-1.2954882597962283e-06,-0.00523598771542,0.00174532923847,0.00174532923847,-8.745987930970724e-06,2.7869541391515775e-07,-2.1893741393717764e-06
7,1644542237833760738,0.0686465501785,-9.64974308014,0.294199496508,acc,2.739574840320078e-07,-1.1741034860053078e-06,,,,,4.001588681879656e-07,-3.4848623991680047e-06
8,1644542237835774422,0.0294199492782,-9.64974308014,0.166713044047,acc,1.192956363965973e-07,-6.760085986938737e-07,,,,,6.741163522199735e-07,-4.658965885173313e-06
9,1644542237836966276,,,,gyr,1.192956363965973e-07,-6.760085986938737e-07,-0.00523598771542,0.0,0.00174532923847,-0.0,6.741163522199735e-07,-4.658965885173313e-06
10,1644542237837788105,0.0294199492782,-9.67916297913,0.176519691944,acc,1.1929551791166445e-07,-7.157730923646017e-07,,,,,7.934119886165707e-07,-5.334974483867186e-06
11,1644542237839801788,0.0392265990376,-9.64974308014,0.225552946329,acc,1.5906069054888596e-07,-9.145989782095978e-07,,,,,9.127075065282351e-07,-6.050747576231787e-06
12,1644542237841815710,0.0294199492782,-9.64974308014,0.264779537916,acc,1.1932383748408468e-07,-1.0739145146933057e-06,,,,,1.071768197077121e-06,-6.965346554441385e-06
13,1644542237841977596,,,,gyr,1.1930505168687717e-07,-1.073916601837814e-06,-0.00349065847695,-0.00349065847695,0.0,1.7492806638709073e-05,1.071768197077121e-06,-6.965346554441385e-06
14,1644542237843831301,0.0686465501785,-9.62032318115,0.264779537916,acc,2.788839607233925e-07,-1.0756952251862937e-06,,,,,1.1910732487639982e-06,-8.039263156279198e-06
15,1644542237845844984,0.0392265990376,-9.61051654816,0.274586200714,acc,1.5906069054888596e-07,-1.1134248640545938e-06,,,,,1.4699572094873906e-06,-9.114958381465493e-06
16,1644542237846988916,,,,gyr,1.5905095207987528e-07,-1.1134262552209575e-06,0.0,-0.00174532923847,0.00174532923847,8.74640331932948e-06,1.4699572094873906e-06,-9.114958381465493e-06
17,1644542237847860813,0.0392265990376,-9.64974308014,0.225552946329,acc,1.5939989600349333e-07,-9.165494095896984e-07,,,,,1.6290081615672659e-06,-1.022838463668645e-05
18,1644542237849874496,0.0686465501785,-9.62032318115,0.294199496508,acc,2.7835621601364845e-07,-1.1929551942252736e-06,,,,,1.7884080575707592e-06,-1.1144934046276148e-05
19,1644542237852000237,,,,gyr,2.783666500723539e-07,-1.1929527595634259e-06,0.0,0.00174532923847,0.00174532923847,-8.74640506465872e-06,1.7884080575707592e-06,-1.1144934046276148e-05
20,1644542237853904009,0.0686465501785,-9.66935634613,0.313812792301,acc,1.1146123202631425e-06,-5.095370468659382e-06,,,,,2.0667747076431133e-06,-1.2337886805839574e-05
21,1644542237855917692,0.0294199492782,-9.70858287811,0.294199496508,acc,1.1929551791166445e-07,-1.1929551942252736e-06,,,,,3.181387027906256e-06,-1.7433257274498957e-05
22,1644542237857011557,,,,gyr,1.193059519743719e-07,-1.1929541507729296e-06,-0.00349065847695,0.00174532923847,0.0,-8.74640331932948e-06,3.181387027906256e-06,-1.7433257274498957e-05
23,1644542237862022877,,,,gyr,1.1931638602795246e-07,-1.1929531072293252e-06,0.0,0.00174532923847,0.0,-8.74640331932948e-06,3.181387027906256e-06,-1.7433257274498957e-05
24,1644542237867034197,,,,gyr,1.192955179116644e-07,-1.1929551942252739e-06,0.0,-0.00349065847695,0.0,1.7492806638709073e-05,3.181387027906256e-06,-1.7433257274498957e-05
25,1644542237872045517,,,,gyr,1.1934768813392512e-07,-1.1929499760509493e-06,0.0104719754308,0.00872664619237,0.00174532923847,-4.3732016596747625e-05,3.181387027906256e-06,-1.7433257274498957e-05
26,1644542237877056837,,,,gyr,1.195981020217611e-07,-1.1929248970558314e-06,0.0750491544604,0.0418879017234,0.00174532923847,-0.00020991367966450886,3.181387027906256e-06,-1.7433257274498957e-05
27,1644542237882068157,,,,gyr,1.201719472923894e-07,-1.1928672261013917e-06,0.202458187938,0.0959931090474,0.00349065847695,-0.0004810521872314165,3.181387027906256e-06,-1.7433257274498957e-05
28,1644542237887079239,,,,gyr,1.2063098170921066e-07,-1.1928208927893348e-06,0.141371667385,0.0767944902182,0.0069813169539,-0.00038482348763159814,3.181387027906256e-06,-1.7433257274498957e-05
29,1644542237892088890,,,,gyr,1.2057883450403587e-07,-1.1928261653285956e-06,-0.00523598771542,-0.00872664619237,0.0,4.371745182425256e-05,3.181387027906256e-06,-1.7433257274498957e-05
30,1644542237897100210,,,,gyr,1.2057883450403587e-07,-1.1928261653285956e-06,-0.0104719754308,0.0,0.0,-0.0,3.181387027906256e-06,-1.7433257274498957e-05
31,1644542237902111292,,,,gyr,1.2056840205617861e-07,-1.192827219864006e-06,-0.0104719754308,-0.00174532923847,0.00349065847695,8.745987930970724e-06,3.181387027906256e-06,-1.7433257274498957e-05
32,1644542238564903975,-0.0392265990376,-8.80637168884,0.12748645246,acc,-0.019717703053155268,-0.06408253773152683,,,,,3.3019554299624347e-06,-1.8626084494362964e-05
33,1644542238566917658,-0.912018418312,-9.17902374268,1.5886772871,acc,-3.69816101750138e-06,-6.441958072970821e-06,,,,,-0.019714401097725306,-0.0641011638160212
34,1644542238568595409,,,,gyr,-4.962820742648531e-06,-5.526810020402208e-06,-0.0558505356312,-0.315904587507,0.0418879017234,0.21054539006085213,-0.019714401097725306,-0.0641011638160212
35,1644542238568931341,-0.38245934248,-10.797121048,1.33370435238,acc,-1.5508417404075745e-06,-5.408063418250314e-06,,,,,-0.019719363918467955,-0.0641066906260416
36,1644542238570947170,-0.0784531980753,-8.62004470825,0.176519691944,acc,-3.18799792007393e-07,-7.172995168781217e-07,,,,,-0.01972091476020836,-0.06411209868945986
37,1644542238572960854,-1.922103405,-9.70858287811,2.20649623871,acc,-7.79398178940609e-06,-8.947172903477984e-06,,,,,-0.019721233560000367,-0.06411281598897674
38,1644542238573606730,,,,gyr,-7.805400749563189e-06,-8.937212889768422e-06,0.0925024524331,-0.254818081856,0.0296705961227,0.0012769752047846919,-0.019721233560000367,-0.06411281598897674
39,1644542238574974537,-0.549172401428,-9.53206348419,0.529559075832,acc,-2.2268497281091876e-06,-2.147319277093805e-06,,,,,-0.01972903896074993,-0.0641217532018665
40,1644542238576990128,0.0,-9.98316955566,1.09834480286,acc,0.0,-4.462143371590531e-06,,,,,-0.019731265810478037,-0.0641239005211436
41,1644542238578617811,,,,gyr,-3.317196354681095e-09,-4.4621421385739895e-06,-0.0383972451091,-0.148352980614,0.0314159244299,0.0007434088024481837,-0.019731265810478037,-0.0641239005211436
42,1644542238579003811,-0.627625584602,-9.48303031921,1.16699135303,acc,-2.544971048783797e-06,-4.732055672213776e-06,,,,,-0.01973126912767439,-0.06412836266328217
43,1644542238581017733,-0.245166242123,-10.2381420135,1.50041747093,acc,-9.943653048153203e-07,-6.085515945882236e-06,,,,,-0.019733814098723174,-0.06413309471895438
44,1644542238583031416,-0.313812792301,-9.67916297913,2.02997660637,acc,-1.2724855243918985e-06,-8.231391166432653e-06,,,,,-0.01973480846402799,-0.06413918023490027
45,1644542238583629608,,,,gyr,-1.2854442877859592e-06,-8.229377432565047e-06,0.104719758034,-0.314159274101,0.0174532923847,0.0015745025074615695,-0.01973480846402799,-0.06413918023490027
46,1644542238585047245,1.48080408573,-9.02211761475,0.774725317955,acc,6.017345960598262e-06,-3.1481478930898375e-06,,,,,-0.019736093908315776,-0.06414740961233284
47,1644542238587061167,1.54945063591,-9.31631755829,0.833565235138,acc,6.284388668403863e-06,-3.3808420847173896e-06,,,,,-0.01973007656235518,-0.06415055776022593
48,1644542238588641167,,,,gyr,6.280510661755476e-06,-3.3880407265755963e-06,0.129154369235,-0.228638127446,0.0296705961227,0.0011458334653451482,-0.01973007656235518,-0.06415055776022593
49,1644542238589074850,1.78481030464,-10.2675619125,1.40235090256,acc,7.2372616163508044e-06,-5.686419634270045e-06,,,,,-0.019723796051693422,-0.06415394580095252
50,1644542238591088772,0.833565235138,-8.70830535889,2.47127580643,acc,3.3808420847173896e-06,-1.0023202620655416e-05,,,,,-0.019716558790077072,-0.06415963222058679
51,1644542238593104839,3.12832117081,-9.88510322571,1.52983736992,acc,1.2715143199628966e-05,-6.218063992975478e-06,,,,,-0.019713177947992353,-0.06416965542320745
52,1644542238593652487,,,,gyr,1.270915488913075e-05,-6.230294408123331e-06,-0.167551606894,-0.191986218095,0.0279252678156,0.0009621043744638353,-0.019713177947992353,-0.06416965542320745
53,1644542238595118761,2.33398270607,-9.78703689575,1.60829055309,acc,9.466358030607737e-06,-6.5230364189071535e-06,,,,,-0.01970046879310322,-0.06417588571761557
54,1644542238597132206,2.99102807045,-9.71838951111,1.97113656998,acc,1.2125510453665815e-05,-7.990910323118284e-06,,,,,-0.019691002435072612,-0.06418240875403447
55,1644542238598664284,,,,gyr,1.2126908235647772e-05,-7.988788906852875e-06,-0.102974422276,0.0349065847695,0.0191986225545,-0.00017494471682802582,-0.019691002435072612,-0.06418240875403447
56,1644542238599146128,2.78508853912,-9.34573745728,1.60829055309,acc,1.1295989978711291e-05,-6.5230364189071535e-06,,,,,-0.019678875526836965,-0.06419039754294133
57,1644542238601159811,2.55953550339,-9.56148338318,1.75539028645,acc,1.037870971845824e-05,-7.117965819007357e-06,,,,,-0.019667579536858253,-0.06419692057936023
58,1644542238603173733,1.9024900198,-10.0420093536,2.17707633972,acc,7.71627468800305e-06,-8.829964351559519e-06,,,,,-0.019657200827139794,-0.06420403854517924
59,1644542238603673935,,,,gyr,7.71279987882641e-06,-8.832999690914962e-06,-0.0191986225545,-0.0785398185253,0.0069813169539,0.00039345708041508767,-0.019657200827139794,-0.06420403854517924
60,1644542238605189800,1.84365010262,-8.53178501129,2.09862303734,acc,7.493564050763417e-06,-8.529908211089836e-06,,,,,-0.019649488027260967,-0.06421287154487015
61,1644542238607203484,1.78481030464,-9.58109664917,1.70635700226,acc,7.237268804436926e-06,-6.919146684431375e-06,,,,,-0.019641994463210206,-0.06422140145308124
62,1644542238608685255,,,,gyr,7.2398705512749e-06,-6.916424292156754e-06,-0.123918376863,0.0750491544604,0.0104719754308,-0.00037609532873049173,-0.019641994463210206,-0.06422140145308124
63,1644542238609217167,0.804145276546,-9.35554409027,1.97113656998,acc,3.260744141148399e-06,-7.992799571705211e-06,,,,,-0.01963475459265893,-0.06422831787737339
64,1644542238611231089,0.912018418312,-10.3950490952,2.55953550339,acc,3.6990389242374426e-06,-1.0381173521178122e-05,,,,,-0.01963149384851778,-0.06423631067694509
65,1644542238613244772,-0.00980664975941,-8.62004470825,2.20649623871,acc,-3.9765172637262036e-08,-8.947164017107848e-06,,,,,-0.019627794809593542,-0.06424669185046626
66,1644542238613697052,,,,gyr,-3.702596739277509e-08,-8.947175772036836e-06,-0.317649930716,0.0610865242779,0.0,-0.00030615325911640637,-0.019627794809593542,-0.06424669185046626
67,1644542238615260839,0.725692093372,-10.2087221146,2.06920313835,acc,2.9495944892622146e-06,-8.410330262359074e-06,,,,,-0.019627831835560935,-0.06425563902623829
68,1644542238617272615,-1.04931151867,-9.1299905777,2.33398270607,acc,-4.24681835686565e-06,-9.446194408795281e-06,,,,,-0.019624882241071673,-0.06426404935650065
69,1644542238618708611,,,,gyr,-4.240537982158642e-06,-9.449015429495086e-06,-0.459021598101,0.132645025849,-0.0139626339078,-0.0006647583730987886,-0.019624882241071673,-0.06426404935650065
70,1644542238619288445,-0.294199496508,-9.8949098587,2.41243577003,acc,-1.1955004212790971e-06,-9.803103042704234e-06,,,,,-0.01962912277905383,-0.06427349837193015
71,1644542238621302128,-1.55925726891,-8.8946313858,2.49088907242,acc,-6.322662275627373e-06,-1.0100353985825432e-05,,,,,-0.01963031827947511,-0.06428330147497285
72,1644542238623316050,-1.01008486748,-10.0125894547,2.64779543877,acc,-4.096784852774258e-06,-1.0739145388704172e-05,,,,,-0.019636640941750737,-0.06429340182895868
73,1644542238623719931,,,,gyr,-4.094248658296956e-06,-1.0740112556844096e-05,-0.942477762699,0.0471238903701,-0.0279252678156,-0.00023615289428948952,-0.019636640941750737,-0.06429340182895868
74,1644542238625329733,-1.2650578022,-9.94394302368,2.33398270607,acc,-5.129707202230583e-06,-9.464111344468103e-06,,,,,-0.019640735190409035,-0.06430414194151553
75,1644542238627345800,-2.11823630333,-8.75733852386,2.5399222374,acc,-8.60962684356346e-06,-1.0323580349040984e-05,,,,,-0.019645864897611266,-0.06431360605285999
