,field.header.stamp,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,type,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z
0,1644542405353564262,0.549172401428,-9.5222568512,0.00980664975941,acc,,,
1,1644542405355000019,,,,gyr,-0.0069813169539,-0.0506145469844,0.00349065847695
2,1644542405355579853,0.57859236002,-9.62032318115,0.0392265990376,acc,,,
3,1644542405357593536,0.558979034424,-9.62032318115,0.176519691944,acc,,,
4,1644542405359606981,0.558979034424,-9.66935634613,0.274586200714,acc,,,
5,1644542405360011101,,,,gyr,0.0104719754308,-0.0645771846175,-0.00872664619237
6,1644542405361620665,0.558979034424,-9.64974308014,0.264779537916,acc,,,
7,1644542405363636255,0.598205626011,-9.66935634613,0.264779537916,acc,,,
8,1644542405365019798,,,,gyr,0.0261799395084,-0.0558505356312,-0.0174532923847
9,1644542405365649700,0.627625584602,-9.61051654816,0.264779537916,acc,,,
10,1644542405367663383,0.686465501785,-9.70858287811,0.274586200714,acc,,,
11,1644542405369677067,0.627625584602,-9.66935634613,0.245166242123,acc,,,
12,1644542405370030880,,,,gyr,0.0209439508617,-0.0349065847695,-0.0139626339078
13,1644542405371692419,0.627625584602,-9.64974308014,0.294199496508,acc,,,
14,1644542405373706102,0.598205626011,-9.70858287811,0.245166242123,acc,,,
15,1644542405375041723,,,,gyr,0.0104719754308,-0.0296705961227,-0.00349065847695
16,1644542405375719786,0.627625584602,-9.67916297913,0.196132987738,acc,,,
17,1644542405377735138,0.627625584602,-9.62032318115,0.264779537916,acc,,,
18,1644542405379749060,0.558979034424,-9.61051654816,0.225552946329,acc,,,
19,1644542405380053043,,,,gyr,0.0,-0.0191986225545,-0.00349065847695
20,1644542405381762743,0.529559075832,-9.58109664917,0.225552946329,acc,,,
21,1644542405383776665,0.558979034424,-9.53206348419,0.176519691944,acc,,,
22,1644542405385064363,,,,gyr,0.0,-0.0191986225545,0.0
23,1644542405390075922,,,,gyr,0.00349065847695,-0.0139626339078,-0.00349065847695
24,1644542405395087719,,,,gyr,0.00523598771542,-0.0104719754308,-0.00349065847695
25,1644542405400096416,,,,gyr,0.00872664619237,-0.00174532923847,-0.00523598771542
26,1644542405405104399,,,,gyr,0.0104719754308,-0.00174532923847,-0.00523598771542
27,1644542405410112858,,,,gyr,0.0139626339078,0.0,-0.0069813169539
28,1644542405415121078,,,,gyr,0.0209439508617,-0.00174532923847,-0.0104719754308
29,1644542405420129299,,,,gyr,0.0279252678156,0.0,-0.0139626339078
30,1644542405425137758,,,,gyr,0.0279252678156,0.0,-0.0139626339078
31,1644542405430143833,,,,gyr,0.0139626339078,0.0,-0.00872664619237
32,1644542406082256079,0.598205626011,-9.62032318115,0.176519691944,acc,,,
33,1644542406084268570,0.627625584602,-9.64974308014,0.176519691944,acc,,,
34,1644542406086179018,,,,gyr,-0.0104719754308,-0.00349065847695,0.00872664619237
35,1644542406086280823,0.558979034424,-9.58109664917,0.294199496508,acc,,,
36,1644542406088293314,0.627625584602,-9.66935634613,0.225552946329,acc,,,
37,1644542406090305328,0.57859236002,-9.62032318115,0.176519691944,acc,,,
38,1644542406091186762,,,,gyr,-0.0104719754308,-0.00174532923847,0.0069813169539
39,1644542406092319727,0.598205626011,-9.61051654816,0.176519691944,acc,,,
40,1644542406094331980,0.529559075832,-9.62032318115,0.137293100357,acc,,,
41,1644542406096194506,,,,gyr,-0.0104719754308,0.0,0.0069813169539
42,1644542406096344471,0.598205626011,-9.58109664917,0.196132987738,acc,,,
43,1644542406098356724,0.57859236002,-9.61051654816,0.225552946329,acc,,,
44,1644542406100369215,0.57859236002,-9.58109664917,0.225552946329,acc,,,
45,1644542406101202488,,,,gyr,-0.00349065847695,-0.00349065847695,0.0
46,1644542406102383375,0.57859236002,-9.66935634613,0.225552946329,acc,,,
47,1644542406104395866,0.57859236002,-9.62032318115,0.264779537916,acc,,,
48,1644542406106210232,,,,gyr,0.0,-0.00349065847695,0.0
49,1644542406106407881,0.627625584602,-9.64974308014,0.264779537916,acc,,,
50,1644542406108420372,0.57859236002,-9.64974308014,0.264779537916,acc,,,
51,1644542406110434532,0.558979034424,-9.62032318115,0.274586200714,acc,,,
52,1644542406111217976,,,,gyr,-0.00349065847695,0.0,0.0069813169539
53,1644542406112447023,0.529559075832,-9.62032318115,0.245166242123,acc,,,
54,1644542406114459276,0.549172401428,-9.62032318115,0.196132987738,acc,,,
55,1644542406116223812,,,,gyr,-0.00523598771542,-0.00349065847695,0.00349065847695
56,1644542406116471767,0.558979034424,-9.62032318115,0.225552946329,acc,,,
57,1644542406118485928,0.57859236002,-9.62032318115,0.264779537916,acc,,,
58,1644542406120498180,0.549172401428,-9.61051654816,0.225552946329,acc,,,
59,1644542406121231794,,,,gyr,-0.00872664619237,-0.00349065847695,0.00174532923847
60,1644542406122510433,0.57859236002,-9.61051654816,0.225552946329,acc,,,
61,1644542406124522924,0.558979034424,-9.61051654816,0.264779537916,acc,,,
62,1644542406126239538,,,,gyr,0.0,0.0,0.0
63,1644542406126537085,0.558979034424,-9.62032318115,0.264779537916,acc,,,
64,1644542406128549576,0.558979034424,-9.58109664917,0.245166242123,acc,,,
65,1644542406130561829,0.558979034424,-9.58109664917,0.196132987738,acc,,,
66,1644542406131247282,,,,gyr,0.0,0.0,-0.00174532923847
67,1644542406132574081,0.627625584602,-9.67916297913,0.274586200714,acc,,,
68,1644542406134586334,0.627625584602,-9.66935634613,0.294199496508,acc,,,
69,1644542406136254787,,,,gyr,0.00174532923847,0.0,-0.00523598771542
70,1644542406136598587,0.627625584602,-9.64974308014,0.245166242123,acc,,,
71,1644542406138611078,0.627625584602,-9.64974308014,0.274586200714,acc,,,
72,1644542406140623331,0.764918684959,-9.81645679474,0.402072638273,acc,,,
73,1644542406141262770,,,,gyr,-0.0104719754308,-0.00523598771542,0.0069813169539
74,1644542406142637730,0.872791826725,-9.88510322571,0.529559075832,acc,,,
75,1644542406144649982,0.813951909542,-9.81645679474,0.549172401428,acc,,,
76,1644542406146270514,,,,gyr,-0.0506145469844,-0.0139626339078,0.0279252678156
77,1644542406146662235,0.804145276546,-9.80665016174,0.509945809841,acc,,,
78,1644542406148674488,0.686465501785,-9.71838951111,0.313812792301,acc,,,
79,1644542406150686741,0.637432217598,-9.67916297913,0.245166242123,acc,,,
80,1644542406151278257,,,,gyr,-0.127409040928,-0.0349065847695,0.069813169539
81,1644542406152699232,0.549172401428,-9.64974308014,0.137293100357,acc,,,
82,1644542406154711485,0.529559075832,-9.57129001617,0.0392265990376,acc,,,
83,1644542406156286240,,,,gyr,-0.167551606894,-0.0471238903701,0.0942477807403
84,1644542406156725883,0.529559075832,-9.61051654816,0.0392265990376,acc,,,
85,1644542406158738136,0.470719188452,-9.61051654816,0.0392265990376,acc,,,
86,1644542406160748243,0.470719188452,-9.53206348419,0.0,acc,,,
87,1644542406161293983,,,,gyr,-0.157079637051,-0.0471238903701,0.0925024524331
88,1644542406162760735,0.470719188452,-9.53206348419,-0.00980664975941,acc,,,
89,1644542406164772987,0.451105892658,-9.53206348419,-0.00980664975941,acc,,,
90,1644542406166301727,,,,gyr,-0.127409040928,-0.0349065847695,0.069813169539
91,1644542406166787386,0.421685934067,-9.57129001617,-0.00980664975941,acc,,,
92,1644542406168799639,0.402072638273,-9.5222568512,-0.0294199492782,acc,,,
93,1644542406170812130,0.529559075832,-9.56148338318,0.0,acc,,,
94,1644542406171309471,,,,gyr,-0.0785398185253,-0.0191986225545,0.0471238903701
95,1644542406172826290,0.558979034424,-9.62032318115,0.0686465501785,acc,,,
96,1644542406174838543,0.627625584602,-9.66935634613,0.137293100357,acc,,,
97,1644542406176317453,,,,gyr,-0.0436332300305,-0.0104719754308,0.0209439508617
98,1644542406176850796,0.57859236002,-9.61051654816,0.196132987738,acc,,,
99,1644542406178863049,0.558979034424,-9.64974308014,0.176519691944,acc,,,
100,1644542406180875540,0.627625584602,-9.62032318115,0.176519691944,acc,,,
101,1644542406181323051,,,,gyr,-0.0383972451091,-0.00523598771542,0.0191986225545
102,1644542406182889700,0.57859236002,-9.64974308014,0.166713044047,acc,,,
103,1644542406184902191,0.637432217598,-9.62032318115,0.176519691944,acc,,,
104,1644542406186330795,,,,gyr,-0.0436332300305,-0.0104719754308,0.0209439508617
105,1644542406186914206,0.57859236002,-9.67916297913,0.176519691944,acc,,,
106,1644542406188926458,0.627625584602,-9.70858287811,0.196132987738,acc,,,
107,1644542406190938950,0.549172401428,-9.62032318115,0.137293100357,acc,,,
108,1644542406191338539,,,,gyr,-0.0523598790169,-0.0104719754308,0.0296705961227
109,1644542406192953110,0.529559075832,-9.61051654816,0.0980664938688,acc,,,
110,1644542406194965601,0.529559075832,-9.62032318115,0.0784531980753,acc,,,
111,1644542406196346521,,,,gyr,-0.0558505356312,-0.0139626339078,0.0296705961227
112,1644542406196977854,0.549172401428,-9.64974308014,0.0686465501785,acc,,,
113,1644542406198990107,0.627625584602,-9.62032318115,0.12748645246,acc,,,
114,1644542406201004505,0.57859236002,-9.66935634613,0.166713044047,acc,,,
115,1644542406201354027,,,,gyr,-0.0506145469844,-0.0104719754308,0.0296705961227
116,1644542406203016520,0.637432217598,-9.64974308014,0.176519691944,acc,,,
117,1644542406205029011,0.666852176189,-9.66935634613,0.196132987738,acc,,,
118,1644542406206361771,,,,gyr,-0.0523598790169,-0.0104719754308,0.0296705961227
119,1644542406207041264,0.666852176189,-9.7478094101,0.196132987738,acc,,,
120,1644542406209053516,0.686465501785,-9.67916297913,0.245166242123,acc,,,
121,1644542406211067915,0.666852176189,-9.67916297913,0.176519691944,acc,,,
122,1644542406211369514,,,,gyr,-0.0785398185253,-0.0191986225545,0.0471238903701
123,1644542406213080168,0.598205626011,-9.62032318115,0.166713044047,acc,,,
124,1644542406215092421,0.558979034424,-9.61051654816,0.166713044047,acc,,,
125,1644542406216377497,,,,gyr,-0.0977384373546,-0.0296705961227,0.0610865242779
126,1644542406217104673,0.558979034424,-9.61051654816,0.12748645246,acc,,,
127,1644542406219115019,0.402072638273,-9.53206348419,-0.00980664975941,acc,,,
128,1644542406221129417,0.451105892658,-9.5222568512,-0.00980664975941,acc,,,
129,1644542406221385002,,,,gyr,-0.104719758034,-0.0314159244299,0.0610865242779
130,1644542406223141670,0.451105892658,-9.53206348419,-0.0686465501785,acc,,,
131,1644542406225153923,0.470719188452,-9.57129001617,-0.0294199492782,acc,,,
132,1644542406226392746,,,,gyr,-0.0750491544604,-0.0209439508617,0.0471238903701
133,1644542406227168322,0.529559075832,-9.58109664917,0.0392265990376,acc,,,
134,1644542406229180336,0.549172401428,-9.61051654816,0.0392265990376,acc,,,
135,1644542406231192827,0.627625584602,-9.64974308014,0.0980664938688,acc,,,
136,1644542406231400728,,,,gyr,-0.0436332300305,-0.0104719754308,0.0261799395084
137,1644542406233206987,0.637432217598,-9.67916297913,0.166713044047,acc,,,
138,1644542406235219240,0.813951909542,-9.75761604309,0.343232750893,acc,,,
