,time,field.header.stamp,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
3771,2021-07-29 16:53:51.687433472,1627577631687433481,-0.00349065847695,-0.0122173046693,0.0,0.0,0.0,0.0
3772,2021-07-29 16:53:51.692456448,1627577631692456484,-0.00174532923847,-0.0122173046693,-0.00523598771542,0.0,0.0,0.0
3773,2021-07-29 16:53:51.697381888,1627577631697381973,-0.00174532923847,-0.0157079622149,-0.00523598771542,0.0,0.0,0.0
3774,2021-07-29 16:53:51.702471936,1627577631702471972,-0.00349065847695,-0.00872664619237,0.0,0.0,0.0,0.0
0,2021-07-29 16:53:51.704375552,1627577631704375505,0.0,0.0,0.0,0.0294199492782,-9.7281961441,0.666852176189
3775,2021-07-29 16:53:51.707497472,1627577631707497358,-0.00523598771542,-0.0069813169539,-0.00349065847695,0.0,0.0,0.0
3776,2021-07-29 16:53:51.712385536,1627577631712385654,0.0,-0.00872664619237,-0.00349065847695,0.0,0.0,0.0
3777,2021-07-29 16:53:51.717598464,1627577631717598438,-0.00523598771542,-0.00872664619237,-0.00523598771542,0.0,0.0,0.0
1,2021-07-29 16:53:51.720181248,1627577631720181227,0.0,0.0,0.0,0.0294199492782,-9.68896961212,0.686465501785
3778,2021-07-29 16:53:51.722577664,1627577631722577572,0.0,-0.0174532923847,-0.00523598771542,0.0,0.0,0.0
3779,2021-07-29 16:53:51.727394560,1627577631727394581,-0.00523598771542,-0.0104719754308,-0.00174532923847,0.0,0.0,0.0
3780,2021-07-29 16:53:51.732384768,1627577631732384682,-0.00349065847695,-0.0139626339078,-0.00349065847695,0.0,0.0,0.0
2,2021-07-29 16:53:51.735986688,1627577631735986710,0.0,0.0,0.0,0.00980664975941,-9.7281961441,0.706078767776
3781,2021-07-29 16:53:51.737427968,1627577631737427950,-0.00174532923847,-0.00872664619237,-0.00872664619237,0.0,0.0,0.0
3782,2021-07-29 16:53:51.742433792,1627577631742433786,-0.00349065847695,-0.0139626339078,-0.0069813169539,0.0,0.0,0.0
3783,2021-07-29 16:53:51.747411712,1627577631747411728,0.0,-0.0157079622149,-0.00349065847695,0.0,0.0,0.0
3,2021-07-29 16:53:51.751793152,1627577631751793146,0.0,0.0,0.0,0.0490332469344,-9.70858287811,0.706078767776
3784,2021-07-29 16:53:51.752441600,1627577631752441645,-0.00349065847695,-0.0157079622149,-0.00349065847695,0.0,0.0,0.0
3785,2021-07-29 16:53:51.757439488,1627577631757439375,0.0,-0.0174532923847,0.0,0.0,0.0,0.0
3786,2021-07-29 16:53:51.762403840,1627577631762403965,-0.00174532923847,-0.00872664619237,-0.0069813169539,0.0,0.0,0.0
3787,2021-07-29 16:53:51.767538176,1627577631767538071,-0.00349065847695,-0.00523598771542,-0.00174532923847,0.0,0.0,0.0
4,2021-07-29 16:53:51.767598336,1627577631767598391,0.0,0.0,0.0,0.0490332469344,-9.70858287811,0.725692093372
3788,2021-07-29 16:53:51.772559616,1627577631772559643,-0.00174532923847,-0.0139626339078,-0.00349065847695,0.0,0.0,0.0
3789,2021-07-29 16:53:51.777408000,1627577631777407885,0.0,-0.00872664619237,-0.0122173046693,0.0,0.0,0.0
3790,2021-07-29 16:53:51.782352384,1627577631782352448,0.00349065847695,-0.00872664619237,-0.00523598771542,0.0,0.0,0.0
5,2021-07-29 16:53:51.783403520,1627577631783403635,0.0,0.0,0.0,0.0490332469344,-9.7478094101,0.764918684959
3791,2021-07-29 16:53:51.787439872,1627577631787439823,-0.00174532923847,-0.00523598771542,-0.0069813169539,0.0,0.0,0.0
3792,2021-07-29 16:53:51.792670720,1627577631792670727,-0.00349065847695,-0.00872664619237,-0.0069813169539,0.0,0.0,0.0
3793,2021-07-29 16:53:51.797640960,1627577631797641039,0.0,-0.0122173046693,-0.00349065847695,0.0,0.0,0.0
6,2021-07-29 16:53:51.799206400,1627577631799206495,0.0,0.0,0.0,0.0686465501785,-9.70858287811,0.725692093372
3794,2021-07-29 16:53:51.802645760,1627577631802645683,-0.00174532923847,-0.00872664619237,-0.0069813169539,0.0,0.0,0.0
3795,2021-07-29 16:53:51.807721984,1627577631807722092,0.0,-0.0104719754308,-0.00523598771542,0.0,0.0,0.0
3796,2021-07-29 16:53:51.812629248,1627577631812629223,-0.00349065847695,-0.00872664619237,-0.00523598771542,0.0,0.0,0.0
7,2021-07-29 16:53:51.815012352,1627577631815012455,0.0,0.0,0.0,0.0882598459721,-9.76742362976,0.745305359364
3797,2021-07-29 16:53:51.817781248,1627577631817781210,-0.00349065847695,-0.0104719754308,-0.00872664619237,0.0,0.0,0.0
3798,2021-07-29 16:53:51.822726144,1627577631822726250,-0.00174532923847,-0.0139626339078,-0.00523598771542,0.0,0.0,0.0
3799,2021-07-29 16:53:51.827645952,1627577631827646017,0.0,-0.00523598771542,-0.0104719754308,0.0,0.0,0.0
8,2021-07-29 16:53:51.830818304,1627577631830818176,0.0,0.0,0.0,0.107873149216,-9.68896961212,0.745305359364
3800,2021-07-29 16:53:51.832659968,1627577631832659960,-0.00174532923847,-0.00872664619237,-0.00349065847695,0.0,0.0,0.0
3801,2021-07-29 16:53:51.837688320,1627577631837688446,0.0,-0.0069813169539,-0.00872664619237,0.0,0.0,0.0
3802,2021-07-29 16:53:51.842618880,1627577631842618942,0.0,-0.0104719754308,-0.00523598771542,0.0,0.0,0.0
9,2021-07-29 16:53:51.846621440,1627577631846621513,0.0,0.0,0.0,0.0882598459721,-9.7281961441,0.745305359364
3803,2021-07-29 16:53:51.847646464,1627577631847646475,-0.00349065847695,-0.0139626339078,-0.0069813169539,0.0,0.0,0.0
3804,2021-07-29 16:53:51.852716800,1627577631852716684,0.0,-0.00872664619237,-0.00174532923847,0.0,0.0,0.0
3805,2021-07-29 16:53:51.857722880,1627577631857722759,-0.00174532923847,-0.00872664619237,-0.00523598771542,0.0,0.0,0.0
10,2021-07-29 16:53:51.862424064,1627577631862424135,0.0,0.0,0.0,0.107873149216,-9.68896961212,0.706078767776
3806,2021-07-29 16:53:51.862611968,1627577631862612009,-0.00174532923847,-0.0122173046693,0.0,0.0,0.0,0.0
