,field.header.stamp,time,file_name,North,West,North_dd,West_dd,lat,lon,lat_utm,lon_utm,North_deg,West_deg,North_minute_decimal,West_minute_decimal
0,1627577631941884995,2021-07-29 16:53:51.941884995,ply,4616.692845395,11940.886758249999,46.27821408991667,-119.68144597083331,,,5128454.603577881,293415.80883990467,46,119,16.692845395000404,40.88675824999882
1,1627577632425657272,2021-07-29 16:53:52.425657272,ply,4616.6928547200005,11940.886744914998,46.27821424533334,-119.6814457485833,,,5128454.620266221,293415.8265464336,46,119,16.69285472000047,40.88674491499842
2,1627577632892710447,2021-07-29 16:53:52.892710447,ply,4616.692859074999,11940.88673688,46.27821431791666,-119.68144561466667,,,5128454.627981535,293415.8371362848,46,119,16.692859074999433,40.88673688000017
3,1627577633352352142,2021-07-29 16:53:53.352352142,ply,4616.69286529,11940.88673117,46.278214421499996,-119.68144551949999,,,5128454.6392422095,293415.84485743416,46,119,16.692865289999645,40.88673116999962
4,1627577633822553158,2021-07-29 16:53:53.822553158,ply,4616.692869225,11940.88671938,46.27821448708334,-119.68144532299999,,,5128454.646016585,293415.8602423597,46,119,16.692869225000322,40.886719379999704
5,1627577634308088779,2021-07-29 16:53:54.308088779,ply,4616.692874675,11940.886711579999,46.278214577916664,-119.68144519299997,,,5128454.655769815,293415.870599107,46,119,16.692874674999985,40.88671157999852
6,1627577634809266090,2021-07-29 16:53:54.809266090,ply,4616.692897855,11940.886674785,46.278214964250004,-119.68144457975,,,5128454.69709504,293415.91929653287,46,119,16.69289785500041,40.88667478500065
7,1627577635301782370,2021-07-29 16:53:55.301782370,ply,4616.692927975,11940.886600165,46.27821546625,-119.68144333608333,,,5128454.749627768,293416.0169960088,46,119,16.692927975000202,40.886600165000345
8,1627577635766296864,2021-07-29 16:53:55.766296864,ply,4616.692954275,11940.88654048,46.27821590458334,-119.68144234133334,,,5128454.795735761,293416.0952796046,46,119,16.692954275000375,40.886540479999894
9,1627577636236865520,2021-07-29 16:53:56.236865520,ply,4616.692989475,11940.886456234999,46.27821649125,-119.68144093724999,,,5128454.857257249,293416.2056559231,46,119,16.692989475000104,40.88645623499906
10,1627577636745702982,2021-07-29 16:53:56.745702982,ply,4616.693038269999,11940.886301445,46.27821730449999,-119.68143835741667,,,5128454.940887857,293416.4074636765,46,119,16.693038269999306,40.886301444999845
11,1627577637196015358,2021-07-29 16:53:57.196015358,ply,4616.693084885001,11940.886152195,46.278218081416675,-119.68143586991667,,,5128455.020722357,293416.6020214617,46,119,16.693084885000644,40.88615219500025
12,1627577637663977385,2021-07-29 16:53:57.663977385,ply,4616.693158125,11940.88599731,46.278219302083336,-119.68143328850002,,,5128455.1496156845,293416.80548334226,46,119,16.693158125000082,40.885997310000675
13,1627577638087089777,2021-07-29 16:53:58.087089777,ply,4616.69323363,11940.885848825,46.278220560499996,-119.68143081375001,,,5128455.2829814525,293417.00086962193,46,119,16.693233629999668,40.88584882500072
14,1627577638608607769,2021-07-29 16:53:58.608607769,ply,4616.693337055,11940.885615205,46.27822228424999,-119.68142692008333,,,5128455.4643490715,293417.30731864844,46,119,16.693337054999574,40.88561520499934
15,1627577639069372416,2021-07-29 16:53:59.069372416,ply,4616.6934603400005,11940.885389185,46.278224339000005,-119.68142315308333,,,5128455.682823413,293417.6052540791,46,119,16.693460340000456,40.88538918499944
16,1627577639485393763,2021-07-29 16:53:59.485393763,ply,4616.69360753,11940.885207020001,46.27822679216667,-119.68142011700002,,,5128455.947470554,293417.8483782616,46,119,16.69360753000001,40.88520702000096
17,1627577639974094629,2021-07-29 16:53:59.974094629,ply,4616.693740055,11940.884951965,46.27822900091666,-119.68141586608333,,,5128456.181793549,293418.184173541,46,119,16.69374005499958,40.884951964999345
18,1627577640392257214,2021-07-29 16:54:00.392257214,ply,4616.693844495,11940.88480238,46.278230741583336,-119.681413373,,,5128456.368692896,293418.38278571714,46,119,16.69384449500012,40.88480238000011
19,1627577640829720497,2021-07-29 16:54:00.829720497,ply,4616.69391684,11940.884646195,46.27823194733334,-119.68141076991667,,,5128456.495872441,293418.5878606122,46,119,16.693916840000384,40.88464619499973
