,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
0,4616.692845395,46.27821408991667,11940.886758249999,-119.68144597083331,1627577631941884995,ply,0.8077072078118771,185638.76502702181,-2.0888352857387424,9125167.426340356,2021-07-29 16:53:51.941884995,46,119,16.692845395000404,40.88675824999882
1,4616.6928547200005,46.27821424533334,11940.886744914998,-119.6814457485833,1627577632425657272,ply,0.8077072105244096,185638.76567341632,-2.0888352818597484,9125167.427221248,2021-07-29 16:53:52.425657272,46,119,16.69285472000047,40.88674491499842
2,4616.692859074999,46.27821431791666,11940.88673688,-119.68144561466667,1627577632892710447,ply,0.8077072117912275,185638.7659784484,-2.088835279522462,9125167.427754214,2021-07-29 16:53:52.892710447,46,119,16.692859074999433,40.88673688000017
3,4616.69286529,46.278214421499996,11940.886731170001,-119.68144551950003,1627577633352352142,ply,0.8077072135990978,185638.76640372348,-2.0888352778614907,9125167.428127555,2021-07-29 16:53:53.352352142,46,119,16.692865289999645,40.88673117000144
4,4616.692869225,46.27821448708334,11940.88671938,-119.68144532299999,1627577633822553158,ply,0.8077072147437431,185638.76668723446,-2.088835274431918,9125167.428913852,2021-07-29 16:53:53.822553158,46,119,16.692869225000322,40.886719379999704
5,4616.692874675,46.278214577916664,11940.886711579999,-119.68144519299997,1627577634308088779,ply,0.8077072163290837,185638.76706503105,-2.08883527216299,9125167.429429112,2021-07-29 16:53:54.308088779,46,119,16.692874674999985,40.88671157999852
6,4616.692897855,46.278214964250004,11940.886674785,-119.68144457975,1627577634809266090,ply,0.8077072230718725,185638.76867819,-2.0888352614597587,9125167.431864148,2021-07-29 16:53:54.809266090,46,119,16.69289785500041,40.88667478500065
7,4616.692927975,46.27821546625,11940.886600165,-119.68144333608333,1627577635301782370,ply,0.8077072318334253,185638.7708210539,-2.0888352397536805,9125167.436831623,2021-07-29 16:53:55.301782370,46,119,16.692927975000202,40.886600165000345
8,4616.692954275,46.27821590458334,11940.88654048,-119.68144234133334,1627577635766296864,ply,0.8077072394837853,185638.77268260985,-2.088835222392018,9125167.440801054,2021-07-29 16:53:55.766296864,46,119,16.692954275000375,40.886540479999894
9,4616.692989475,46.27821649125,11940.886456234999,-119.68144093724999,1627577636236865520,ply,0.8077072497230501,185638.77518172603,-2.0888351978861404,9125167.446407195,2021-07-29 16:53:56.236865520,46,119,16.692989475000104,40.88645623499906
10,4616.693038269999,46.27821730449999,11940.886301445,-119.68143835741667,1627577636745702982,ply,0.80770726391694,185638.7787123083,-2.088835152859555,9125167.456735317,2021-07-29 16:53:56.745702982,46,119,16.693038269999306,40.886301444999845
11,4616.693084885001,46.278218081416675,11940.886152195,-119.68143586991667,1627577637196015358,ply,0.8077072774766942,185638.78208755358,-2.08883510944449,9125167.46669454,2021-07-29 16:53:57.196015358,46,119,16.693084885000644,40.88615219500025
12,4616.693158125,46.278219302083336,11940.88599731,-119.68143328850002,1627577637663977385,ply,0.8077072987813465,185638.7872518556,-2.08883506439027,9125167.476986716,2021-07-29 16:53:57.663977385,46,119,16.693158125000082,40.885997310000675
13,4616.69323363,46.278220560499996,11940.885848825,-119.68143081375001,1627577638087089777,ply,0.8077073207448606,185638.79255636182,-2.0888350211977342,9125167.48684445,2021-07-29 16:53:58.087089777,46,119,16.693233629999668,40.88584882500072
14,4616.693337055,46.27822228424999,11940.885615205,-119.68142692008333,1627577638608607769,ply,0.8077073508299735,185638.79987504458,-2.0888349532404304,9125167.502380805,2021-07-29 16:53:58.608607769,46,119,16.693337054999574,40.88561520499934
15,4616.6934603400005,46.278224339000005,11940.885389185,-119.68142315308333,1627577639069372416,ply,0.8077073866921265,185638.80850763805,-2.088834887493878,9125167.517371526,2021-07-29 16:53:59.069372416,46,119,16.693460340000456,40.88538918499944
16,4616.69360753,46.27822679216667,11940.885207020001,-119.68142011700002,1627577639485393763,ply,0.8077074295079619,185638.818661254,-2.0888348345042274,9125167.529370757,2021-07-29 16:53:59.485393763,46,119,16.69360753000001,40.88520702000096
17,4616.693740055,46.27822900091666,11940.884951965,-119.68141586608333,1627577639974094629,ply,0.8077074680579216,185638.82796192923,-2.0888347603117348,9125167.54629864,2021-07-29 16:53:59.974094629,46,119,16.69374005499958,40.884951964999345
18,4616.693844495,46.278230741583336,11940.88480238,-119.681413373,1627577640392257214,ply,0.8077074984382863,185638.8352019547,-2.0888347167992225,9125167.556180263,2021-07-29 16:54:00.392257214,46,119,16.69384449500012,40.88480238000011
19,4616.69391684,46.27823194733334,11940.884646195,-119.68141076991667,1627577640829720497,ply,0.8077075194825938,185638.84030871402,-2.0888346713668473,9125167.566561442,2021-07-29 16:54:00.829720497,46,119,16.693916840000384,40.88464619499973
20,4616.693993105,46.278233218416666,11940.884546444999,-119.68140910741664,1627577641245975494,ply,0.807707541667183,185638.84557905543,-2.0888346423507484,9125167.573139489,2021-07-29 16:54:01.245975494,46,119,16.693993105000118,40.884546444998705
21,4616.69408702,46.27823478366666,11940.884426525,-119.68140710875001,1627577641640441895,ply,0.807707568985949,185638.85206402975,-2.088834607467435,9125167.581043795,2021-07-29 16:54:01.640441895,46,119,16.694087019999643,40.88442652500089
22,4616.69421989,46.27823699816666,11940.884268484999,-119.68140447474998,1627577642146689415,ply,0.8077076076362653,185638.8612186483,-2.088834561495462,9125167.59144495,2021-07-29 16:54:02.146689653,46,119,16.69421988999966,40.884268484998756
23,4616.694331595,46.27823885991667,11940.884105829999,-119.6814017638333,1627577642615632772,ply,0.8077076401299328,185638.86896694553,-2.0888345141810403,9125167.602193205,2021-07-29 16:54:02.615633011,46,119,16.69433159500022,40.88410582999859
24,4616.69447571,46.27824126183334,11940.883965174999,-119.68139941958331,1627577643149179935,ply,0.807707682051287,185638.87884271445,-2.0888344732661595,9125167.61140541,2021-07-29 16:54:03.149179935,46,119,16.694475710000006,40.88396517499859
25,4616.694590265,46.27824317108334,11940.883830989998,-119.68139718316664,1627577643585959435,ply,0.8077077153739858,185638.88673183744,-2.0888344342333247,9125167.62023357,2021-07-29 16:54:03.585959435,46,119,16.694590265000443,40.88383098999839
26,4616.694739435,46.27824565725,11940.8837197,-119.68139532833332,1627577644097918272,ply,0.8077077587657797,185638.89689422262,-2.0888344018603764,9125167.627461659,2021-07-29 16:54:04.097918272,46,119,16.694739434999974,40.88371969999935
27,4616.694886505,46.27824810841666,11940.883541700001,-119.68139236166668,1627577644649372578,ply,0.8077078015467085,185638.90703255954,-2.088834350082276,9125167.63918092,2021-07-29 16:54:04.649372578,46,119,16.694886504999886,40.88354170000093
28,4616.69510504,46.27825175066667,11940.88333249,-119.68138887483335,1627577645272989035,ply,0.8077078651159633,185638.92200099904,-2.0888342892255536,9125167.652875902,2021-07-29 16:54:05.272989035,46,119,16.69510504000027,40.88333249000061
29,4616.695254574999,46.27825424291665,11940.883167785,-119.68138612975,1627577645776886463,ply,0.8077079086139313,185638.93228088613,-2.0888342413148107,9125167.66369655,2021-07-29 16:54:05.776886463,46,119,16.695254574999126,40.88316778499939
